                 res               x                y               z
            32.25317       179.58138        979.87793     -1873.69165
            31.58601       103.60031       -829.18103     -1869.25146
            72.05053       180.15958        652.53705     -1919.51648
            67.95087       244.98424        487.24728     -1946.97534
            30.15705       204.09373      -1030.76978     -1862.16626
            33.81456       214.37280      -1196.14185     -1801.54419
            31.72867        75.52735       -724.87671     -1922.69556
            63.47939       257.35458        795.74750     -1816.71558
            59.38299       318.89597      -1509.57190     -1645.10327
           121.51953       198.58580        406.96408     -2080.31348
            47.30816        12.17322       1417.72766     -1747.62305
           410.55267       247.73538       -413.51123     -2109.75391
            32.83280       173.08112       -836.93585     -1858.18823
            58.97746       102.89471        760.37360     -1845.17871
           258.21545       389.88132        425.59241     -2013.37329
           164.37889       334.87958        486.52646     -2011.20581
            27.21239        99.44777        -32.13694     -2075.69653
            24.32392       105.93082       1848.76660     -1604.57214
           123.79883       377.43661       -527.08795     -1958.63037
            92.85175       292.78027      -1719.68359     -1514.26892
            49.20322       241.98734      -1472.56763     -1645.18933
           169.75742         0.74163        302.32428     -2042.39941
